endpoint,fixture_id,method,status,prompt_chars,approx_prompt_tokens,latency_ms,input_tokens,output_tokens,total_tokens,output_chars
MiniMax,synthetic_investment_surface_01_05_r02_longpayload,cbea_lcv_runtime,ok,27967,6992,9586,5143,700,5843,3245
MiniMax,synthetic_investment_exception_01_04_r08_longpayload,raw_prompt_stuffing,ok,109328,27332,12716,20314,700,21014,3455
MiniMax,synthetic_investment_tail_01_01_r11_longpayload,cbea_lcv_runtime,ok,26992,6748,10537,5071,700,5771,3538
MiniMax,synthetic_investment_tail_01_01_r12_longpayload,cbea_lcv_runtime,ok,26992,6748,13435,5071,700,5771,3971
MiniMax,synthetic_investment_infeasible_01_02_r06_longpayload,cbea_lcv_runtime,ok,27911,6978,12281,5275,700,5975,3378
MiniMax,synthetic_investment_tail_01_01_r11_longpayload,raw_prompt_stuffing,ok,106725,26682,12802,20139,700,20839,3381
MiniMax,synthetic_investment_infeasible_01_02_r07_longpayload,raw_prompt_stuffing,ok,108885,27222,12588,20535,700,21235,3374
MiniMax,synthetic_investment_tail_01_01_r03_longpayload,raw_prompt_stuffing,ok,106497,26625,11711,20139,700,20839,3429
MiniMax,synthetic_investment_exception_01_04_r07_longpayload,cbea_lcv_runtime,ok,27896,6974,12650,5154,700,5854,3809
MiniMax,synthetic_investment_falsehard_01_03_r09_longpayload,raw_prompt_stuffing,ok,109022,27256,15590,20808,700,21508,3369
MiniMax,synthetic_investment_surface_01_05_r02_longpayload,raw_prompt_stuffing,ok,110173,27544,17337,20401,700,21101,3482
MiniMax,synthetic_investment_falsehard_01_03_r11_longpayload,raw_prompt_stuffing,ok,109153,27289,12181,20808,700,21508,3474
MiniMax,synthetic_investment_exception_01_04_r06_longpayload,cbea_lcv_runtime,ok,27880,6970,12472,5151,700,5851,3588
MiniMax,synthetic_investment_tail_01_01_r12_longpayload,raw_prompt_stuffing,ok,106725,26682,12159,20139,700,20839,3443
MiniMax,synthetic_investment_surface_01_05_r01_longpayload,raw_prompt_stuffing,ok,110195,27549,12741,20404,700,21104,3458
MiniMax,synthetic_investment_falsehard_01_03_r02_longpayload,cbea_lcv_runtime,ok,27669,6918,11970,5264,700,5964,3279
MiniMax,synthetic_investment_exception_01_04_r06_longpayload,raw_prompt_stuffing,ok,109328,27332,13064,20314,700,21014,3580
MiniMax,synthetic_investment_exception_01_04_r05_longpayload,raw_prompt_stuffing,ok,109344,27336,12446,20317,700,21017,3427
MiniMax,synthetic_investment_infeasible_01_02_r08_longpayload,cbea_lcv_runtime,ok,27911,6978,15373,5275,700,5975,3489
MiniMax,synthetic_investment_exception_01_04_r05_longpayload,cbea_lcv_runtime,ok,27896,6974,11309,5154,700,5854,3427
MiniMax,synthetic_investment_falsehard_01_03_r04_longpayload,raw_prompt_stuffing,ok,109022,27256,14160,20808,700,21508,3429
MiniMax,synthetic_investment_tail_01_01_r01_longpayload,raw_prompt_stuffing,ok,106497,26625,14348,20139,700,20839,3345
MiniMax,synthetic_investment_tail_01_01_r09_longpayload,cbea_lcv_runtime,ok,26954,6739,13036,5071,700,5771,3342
MiniMax,synthetic_investment_tail_01_01_r01_longpayload,cbea_lcv_runtime,ok,26954,6739,13545,5071,700,5771,3545
MiniMax,synthetic_investment_falsehard_01_03_r04_longpayload,cbea_lcv_runtime,ok,27669,6918,11618,5264,700,5964,3473
MiniMax,synthetic_investment_tail_01_01_r02_longpayload,cbea_lcv_runtime,ok,26954,6739,12107,5071,700,5771,3453
MiniMax,synthetic_investment_tail_01_01_r10_longpayload,cbea_lcv_runtime,ok,26992,6748,12402,5071,700,5771,3545
MiniMax,synthetic_investment_exception_01_04_r07_longpayload,raw_prompt_stuffing,ok,109344,27336,14448,20317,700,21017,3381
MiniMax,synthetic_investment_falsehard_01_03_r10_longpayload,cbea_lcv_runtime,ok,27705,6927,14832,5264,700,5964,3728
MiniMax,synthetic_investment_falsehard_01_03_r12_longpayload,cbea_lcv_runtime,ok,27705,6927,11864,5264,700,5964,3553
MiniMax,synthetic_investment_falsehard_01_03_r01_longpayload,cbea_lcv_runtime,ok,27669,6918,12429,5264,700,5964,3601
DeepSeek,synthetic_investment_exception_01_04_r02_longpayload,cbea_lcv_runtime,ok,27880,6970,24280,5485,700,6185,0
DeepSeek,synthetic_investment_falsehard_01_03_r08_longpayload,cbea_lcv_runtime,ok,27669,6918,25778,5484,700,6184,0
DeepSeek,synthetic_investment_infeasible_01_02_r11_longpayload,raw_prompt_stuffing,ok,109016,27254,26438,21248,700,21948,0
DeepSeek,synthetic_investment_exception_01_04_r04_longpayload,raw_prompt_stuffing,ok,109328,27332,26440,21414,700,22114,0
DeepSeek,synthetic_investment_falsehard_01_03_r08_longpayload,raw_prompt_stuffing,ok,109022,27256,27605,21509,700,22209,0
DeepSeek,synthetic_investment_infeasible_01_02_r04_longpayload,raw_prompt_stuffing,ok,108885,27222,28188,21248,700,21948,0
DeepSeek,synthetic_investment_falsehard_01_03_r05_longpayload,cbea_lcv_runtime,ok,27669,6918,28359,5484,700,6184,0
DeepSeek,synthetic_investment_infeasible_01_02_r02_longpayload,raw_prompt_stuffing,ok,108885,27222,29044,21248,700,21948,0
DeepSeek,synthetic_investment_infeasible_01_02_r10_longpayload,raw_prompt_stuffing,ok,109016,27254,24954,21248,700,21948,0
DeepSeek,synthetic_investment_exception_01_04_r04_longpayload,cbea_lcv_runtime,ok,27880,6970,24249,5485,700,6185,0
DeepSeek,synthetic_investment_exception_01_04_r11_longpayload,cbea_lcv_runtime,ok,27932,6983,24230,5488,700,6188,0
DeepSeek,synthetic_investment_exception_01_04_r03_longpayload,cbea_lcv_runtime,ok,27896,6974,26604,5488,700,6188,0
DeepSeek,synthetic_investment_infeasible_01_02_r09_longpayload,raw_prompt_stuffing,ok,108885,27222,24866,21248,700,21948,0
DeepSeek,synthetic_investment_infeasible_01_02_r01_longpayload,cbea_lcv_runtime,ok,27911,6978,27278,5507,700,6207,0
DeepSeek,synthetic_investment_infeasible_01_02_r03_longpayload,raw_prompt_stuffing,ok,108885,27222,26440,21248,700,21948,0
DeepSeek,synthetic_investment_infeasible_01_02_r12_longpayload,raw_prompt_stuffing,ok,109016,27254,28077,21248,700,21948,0
DeepSeek,synthetic_investment_infeasible_01_02_r03_longpayload,cbea_lcv_runtime,ok,27911,6978,24244,5507,700,6207,0
DeepSeek,synthetic_investment_infeasible_01_02_r11_longpayload,cbea_lcv_runtime,ok,27947,6987,25042,5507,661,6168,1212
DeepSeek,synthetic_investment_tail_01_01_r07_longpayload,cbea_lcv_runtime,ok,26954,6739,25042,5291,700,5991,0
DeepSeek,synthetic_investment_falsehard_01_03_r07_longpayload,raw_prompt_stuffing,ok,109022,27256,26990,21509,700,22209,0
DeepSeek,synthetic_investment_falsehard_01_03_r05_longpayload,raw_prompt_stuffing,ok,109022,27256,27212,21509,700,22209,0
DeepSeek,synthetic_investment_falsehard_01_03_r06_longpayload,cbea_lcv_runtime,ok,27669,6918,25277,5484,700,6184,0
DeepSeek,synthetic_investment_exception_01_04_r12_longpayload,cbea_lcv_runtime,ok,27916,6979,26747,5485,700,6185,0
DeepSeek,synthetic_investment_exception_01_04_r09_longpayload,raw_prompt_stuffing,ok,109344,27336,28322,21417,700,22117,0
DeepSeek,synthetic_investment_tail_01_01_r06_longpayload,raw_prompt_stuffing,ok,106497,26625,26435,20840,700,21540,0
DeepSeek,synthetic_investment_infeasible_01_02_r01_longpayload,raw_prompt_stuffing,ok,108885,27222,27030,21248,700,21948,0
DeepSeek,synthetic_investment_exception_01_04_r02_longpayload,raw_prompt_stuffing,ok,109328,27332,27096,21414,700,22114,0
DeepSeek,synthetic_investment_exception_01_04_r09_longpayload,cbea_lcv_runtime,ok,27896,6974,24904,5488,700,6188,0
DeepSeek,synthetic_investment_tail_01_01_r08_longpayload,raw_prompt_stuffing,ok,106497,26625,25359,20840,700,21540,0
DeepSeek,synthetic_investment_falsehard_01_03_r07_longpayload,cbea_lcv_runtime,ok,27669,6918,25178,5484,700,6184,0
DeepSeek,synthetic_investment_infeasible_01_02_r10_longpayload,cbea_lcv_runtime,ok,27947,6987,24147,5507,700,6207,0
DeepSeek,synthetic_investment_exception_01_04_r10_longpayload,raw_prompt_stuffing,ok,109459,27365,25495,21414,700,22114,0
DeepSeek,synthetic_investment_tail_01_01_r06_longpayload,cbea_lcv_runtime,ok,26954,6739,24088,5291,700,5991,0
DeepSeek,synthetic_investment_falsehard_01_03_r06_longpayload,raw_prompt_stuffing,ok,109022,27256,26595,21509,700,22209,0
DeepSeek,synthetic_investment_tail_01_01_r05_longpayload,cbea_lcv_runtime,ok,26954,6739,26954,5291,700,5991,0
DeepSeek,synthetic_investment_exception_01_04_r01_longpayload,cbea_lcv_runtime,ok,27896,6974,25948,5488,700,6188,0
DeepSeek,synthetic_investment_tail_01_01_r07_longpayload,raw_prompt_stuffing,ok,106497,26625,25319,20840,700,21540,0
DeepSeek,synthetic_investment_exception_01_04_r11_longpayload,raw_prompt_stuffing,ok,109475,27369,26071,21417,700,22117,0
DeepSeek,synthetic_investment_exception_01_04_r01_longpayload,raw_prompt_stuffing,ok,109344,27336,26336,21417,700,22117,0
DeepSeek,synthetic_investment_exception_01_04_r12_longpayload,raw_prompt_stuffing,ok,109459,27365,31067,21414,700,22114,0
DeepSeek,synthetic_investment_infeasible_01_02_r04_longpayload,cbea_lcv_runtime,ok,27911,6978,24046,5507,700,6207,0
DeepSeek,synthetic_investment_exception_01_04_r10_longpayload,cbea_lcv_runtime,ok,27916,6979,25079,5485,700,6185,0
DeepSeek,synthetic_investment_exception_01_04_r03_longpayload,raw_prompt_stuffing,ok,109344,27336,26110,21417,700,22117,0
DeepSeek,synthetic_investment_tail_01_01_r08_longpayload,cbea_lcv_runtime,ok,26954,6739,24311,5291,700,5991,0
DeepSeek,synthetic_investment_infeasible_01_02_r09_longpayload,cbea_lcv_runtime,ok,27911,6978,23928,5507,700,6207,0
DeepSeek,synthetic_investment_infeasible_01_02_r12_longpayload,cbea_lcv_runtime,ok,27947,6987,24372,5507,700,6207,0
DeepSeek,synthetic_investment_infeasible_01_02_r02_longpayload,cbea_lcv_runtime,ok,27911,6978,24850,5507,700,6207,0
DeepSeek,synthetic_investment_tail_01_01_r05_longpayload,raw_prompt_stuffing,ok,106497,26625,28837,20840,700,21540,0
DeepSeek,synthetic_investment_infeasible_01_02_r05_longpayload,cbea_lcv_runtime,ok,27911,6978,25169,5507,700,6207,0
DeepSeek,synthetic_investment_tail_01_01_r02_longpayload,raw_prompt_stuffing,ok,106497,26625,26944,20840,700,21540,0
DeepSeek,synthetic_investment_exception_01_04_r08_longpayload,cbea_lcv_runtime,ok,27880,6970,25395,5485,700,6185,0
DeepSeek,synthetic_investment_infeasible_01_02_r08_longpayload,raw_prompt_stuffing,ok,108885,27222,26269,21248,700,21948,0
DeepSeek,synthetic_investment_tail_01_01_r10_longpayload,raw_prompt_stuffing,ok,106725,26682,26009,20840,700,21540,0
DeepSeek,synthetic_investment_falsehard_01_03_r01_longpayload,raw_prompt_stuffing,ok,109022,27256,27915,21509,700,22209,0
DeepSeek,synthetic_investment_falsehard_01_03_r03_longpayload,raw_prompt_stuffing,ok,109022,27256,29484,21509,700,22209,0
DeepSeek,synthetic_investment_infeasible_01_02_r07_longpayload,cbea_lcv_runtime,ok,27911,6978,25094,5507,700,6207,0
DeepSeek,synthetic_investment_falsehard_01_03_r03_longpayload,cbea_lcv_runtime,ok,27669,6918,24832,5484,700,6184,0
DeepSeek,synthetic_investment_tail_01_01_r04_longpayload,cbea_lcv_runtime,ok,26954,6739,25813,5291,700,5991,0
DeepSeek,synthetic_investment_falsehard_01_03_r12_longpayload,raw_prompt_stuffing,ok,109153,27289,31290,21509,700,22209,0
DeepSeek,synthetic_investment_surface_01_05_r01_longpayload,cbea_lcv_runtime,ok,27989,6998,25038,5440,700,6140,0
DeepSeek,synthetic_investment_infeasible_01_02_r06_longpayload,raw_prompt_stuffing,ok,108885,27222,26489,21248,700,21948,0
DeepSeek,synthetic_investment_infeasible_01_02_r05_longpayload,raw_prompt_stuffing,ok,108885,27222,25885,21248,700,21948,0
DeepSeek,synthetic_investment_tail_01_01_r09_longpayload,raw_prompt_stuffing,ok,106497,26625,30899,20840,700,21540,0
DeepSeek,synthetic_investment_falsehard_01_03_r02_longpayload,raw_prompt_stuffing,ok,109022,27256,27244,21509,700,22209,0
DeepSeek,synthetic_investment_falsehard_01_03_r11_longpayload,cbea_lcv_runtime,ok,27705,6927,26643,5484,700,6184,0
DeepSeek,synthetic_investment_tail_01_01_r03_longpayload,cbea_lcv_runtime,ok,26954,6739,26384,5291,700,5991,0
DeepSeek,synthetic_investment_falsehard_01_03_r10_longpayload,raw_prompt_stuffing,ok,109153,27289,27989,21509,699,22208,0
DeepSeek,synthetic_investment_falsehard_01_03_r09_longpayload,cbea_lcv_runtime,ok,27669,6918,29273,5484,700,6184,0
DeepSeek,synthetic_investment_surface_01_05_r02_longpayload,cbea_lcv_runtime,ok,27967,6992,25920,5435,700,6135,0
DeepSeek,synthetic_investment_tail_01_01_r04_longpayload,raw_prompt_stuffing,ok,106497,26625,29984,20840,700,21540,0
DeepSeek,synthetic_investment_exception_01_04_r08_longpayload,raw_prompt_stuffing,ok,109328,27332,32450,21414,700,22114,0
DeepSeek,synthetic_investment_tail_01_01_r11_longpayload,cbea_lcv_runtime,ok,26992,6748,25739,5291,700,5991,0
DeepSeek,synthetic_investment_tail_01_01_r12_longpayload,cbea_lcv_runtime,ok,26992,6748,26467,5291,700,5991,0
DeepSeek,synthetic_investment_infeasible_01_02_r06_longpayload,cbea_lcv_runtime,ok,27911,6978,25869,5507,700,6207,0
DeepSeek,synthetic_investment_infeasible_01_02_r07_longpayload,raw_prompt_stuffing,ok,108885,27222,27304,21248,700,21948,0
DeepSeek,synthetic_investment_surface_01_05_r02_longpayload,raw_prompt_stuffing,ok,110173,27544,29174,21364,700,22064,0
DeepSeek,synthetic_investment_tail_01_01_r11_longpayload,raw_prompt_stuffing,ok,106725,26682,30848,20840,700,21540,0
DeepSeek,synthetic_investment_falsehard_01_03_r09_longpayload,raw_prompt_stuffing,ok,109022,27256,28346,21509,700,22209,0
DeepSeek,synthetic_investment_exception_01_04_r07_longpayload,cbea_lcv_runtime,ok,27896,6974,25804,5488,700,6188,0
DeepSeek,synthetic_investment_tail_01_01_r03_longpayload,raw_prompt_stuffing,ok,106497,26625,32246,20840,700,21540,0
DeepSeek,synthetic_investment_falsehard_01_03_r11_longpayload,raw_prompt_stuffing,ok,109153,27289,29729,21509,700,22209,0
DeepSeek,synthetic_investment_exception_01_04_r06_longpayload,cbea_lcv_runtime,ok,27880,6970,26682,5485,700,6185,30
DeepSeek,synthetic_investment_tail_01_01_r12_longpayload,raw_prompt_stuffing,ok,106725,26682,25219,20840,700,21540,0
DeepSeek,synthetic_investment_falsehard_01_03_r02_longpayload,cbea_lcv_runtime,ok,27669,6918,25178,5484,700,6184,0
DeepSeek,synthetic_investment_surface_01_05_r01_longpayload,raw_prompt_stuffing,ok,110195,27549,30040,21369,700,22069,0
DeepSeek,synthetic_investment_exception_01_04_r06_longpayload,raw_prompt_stuffing,ok,109328,27332,29697,21414,700,22114,0
DeepSeek,synthetic_investment_infeasible_01_02_r08_longpayload,cbea_lcv_runtime,ok,27911,6978,25757,5507,700,6207,0
DeepSeek,synthetic_investment_exception_01_04_r05_longpayload,raw_prompt_stuffing,ok,109344,27336,26749,21417,700,22117,0
DeepSeek,synthetic_investment_falsehard_01_03_r04_longpayload,raw_prompt_stuffing,ok,109022,27256,26125,21509,700,22209,0
DeepSeek,synthetic_investment_exception_01_04_r05_longpayload,cbea_lcv_runtime,ok,27896,6974,26218,5488,700,6188,0
DeepSeek,synthetic_investment_tail_01_01_r01_longpayload,raw_prompt_stuffing,ok,106497,26625,25912,20840,700,21540,0
DeepSeek,synthetic_investment_tail_01_01_r09_longpayload,cbea_lcv_runtime,ok,26954,6739,24688,5291,700,5991,0
DeepSeek,synthetic_investment_falsehard_01_03_r04_longpayload,cbea_lcv_runtime,ok,27669,6918,25563,5484,700,6184,0
DeepSeek,synthetic_investment_tail_01_01_r01_longpayload,cbea_lcv_runtime,ok,26954,6739,26440,5291,700,5991,0
DeepSeek,synthetic_investment_tail_01_01_r02_longpayload,cbea_lcv_runtime,ok,26954,6739,24261,5291,700,5991,0
DeepSeek,synthetic_investment_exception_01_04_r07_longpayload,raw_prompt_stuffing,ok,109344,27336,25506,21417,700,22117,0
DeepSeek,synthetic_investment_falsehard_01_03_r10_longpayload,cbea_lcv_runtime,ok,27705,6927,24916,5484,700,6184,0
DeepSeek,synthetic_investment_falsehard_01_03_r01_longpayload,cbea_lcv_runtime,ok,27669,6918,25101,5484,700,6184,0
DeepSeek,synthetic_investment_falsehard_01_03_r12_longpayload,cbea_lcv_runtime,ok,27705,6927,25139,5484,700,6184,0
DeepSeek,synthetic_investment_tail_01_01_r10_longpayload,cbea_lcv_runtime,ok,26992,6748,30817,5291,700,5991,0
Qwen,synthetic_investment_infeasible_01_02_r02_longpayload,raw_prompt_stuffing,ok,108885,27222,13571,21709,1495,23204,1213
Qwen,synthetic_investment_exception_01_04_r04_longpayload,raw_prompt_stuffing,ok,109328,27332,18975,21617,2287,23904,1390
Qwen,synthetic_investment_infeasible_01_02_r04_longpayload,raw_prompt_stuffing,ok,108885,27222,20275,21709,1957,23666,1490
Qwen,synthetic_investment_falsehard_01_03_r08_longpayload,cbea_lcv_runtime,ok,27669,6918,21417,5409,2972,8381,1796
Qwen,synthetic_investment_falsehard_01_03_r08_longpayload,raw_prompt_stuffing,ok,109022,27256,21552,21972,2539,24511,1571
Qwen,synthetic_investment_falsehard_01_03_r05_longpayload,cbea_lcv_runtime,ok,27669,6918,22221,5409,2987,8396,1307
Qwen,synthetic_investment_infeasible_01_02_r11_longpayload,raw_prompt_stuffing,ok,109016,27254,22293,21840,2637,24477,1494
Qwen,synthetic_investment_exception_01_04_r02_longpayload,cbea_lcv_runtime,ok,27880,6970,22991,5340,2911,8251,1635
Qwen,synthetic_investment_exception_01_04_r03_longpayload,cbea_lcv_runtime,ok,27896,6974,14844,5343,2517,7860,1297
Qwen,synthetic_investment_infeasible_01_02_r10_longpayload,raw_prompt_stuffing,ok,109016,27254,21971,21840,2653,24493,1397
Qwen,synthetic_investment_exception_01_04_r04_longpayload,cbea_lcv_runtime,ok,27880,6970,18145,5340,2723,8063,1296
Qwen,synthetic_investment_infeasible_01_02_r12_longpayload,raw_prompt_stuffing,ok,109016,27254,15750,21840,2011,23851,1333
